Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Kia Carnival,35.45,16.9,7,SUV,Electric,Manual,New,Sporty,White,Not Recommended
Tata Punch,14.58,16.5,6,Hatchback,Electric,Manual,Used,Family,Silver,Recommended
Hyundai Grand i10,42.04,20.4,4,SUV,Electric,Manual,New,Luxury,Silver,Recommended
Maruti Swift,31.27,13.3,6,Sedan,Diesel,Manual,New,Family,Black,Recommended
Toyota Fortuner,31.22,20.2,7,Hatchback,Petrol,Automatic,New,Family,Red,Not Recommended
Honda Amaze,13.71,20.6,4,Sedan,Electric,Manual,Used,Luxury,Black,Not Recommended
Honda City,25.53,21.5,6,Hatchback,Electric,Manual,New,Sporty,Red,Recommended
Maruti Baleno,32.29,24.5,5,Hatchback,Diesel,Manual,Used,Luxury,Blue,Recommended
Mahindra Bolero,15.78,15.0,4,Hatchback,Electric,Automatic,New,Luxury,Silver,Not Recommended
Mahindra XUV300,39.67,18.2,6,Sedan,Diesel,Automatic,New,Luxury,Black,Not Recommended
Hyundai Grand i10,29.4,10.3,4,Hatchback,Electric,Manual,New,Luxury,Red,Not Recommended
Maruti Baleno,26.14,14.5,5,SUV,Petrol,Manual,New,Family,White,Not Recommended
Hyundai Venue,21.37,14.4,7,SUV,Petrol,Manual,New,Family,White,Not Recommended
Tata Harrier,39.75,16.8,7,SUV,Petrol,Automatic,New,Family,Black,Recommended
Maruti WagonR,11.42,22.7,5,Sedan,Petrol,Manual,Used,Sporty,White,Not Recommended
Honda Amaze,7.08,17.2,4,Sedan,Diesel,Automatic,Used,Family,White,Not Recommended
Hyundai Grand i10,9.78,18.7,6,SUV,Diesel,Automatic,Used,Family,White,Recommended
Maruti Dzire,5.33,22.5,7,Sedan,Petrol,Automatic,New,Luxury,Black,Not Recommended
Kia Carens,5.2,21.2,7,SUV,Petrol,Manual,New,Sporty,Red,Not Recommended
Honda City,25.11,21.8,4,Hatchback,Petrol,Manual,Used,Family,White,Not Recommended
Tata Altroz,44.86,13.4,7,Hatchback,Electric,Automatic,New,Family,Red,Recommended
Toyota Glanza,24.89,11.0,6,SUV,Electric,Automatic,Used,Family,White,Recommended
Kia Sonet,21.56,13.6,4,Hatchback,Diesel,Automatic,New,Family,Black,Recommended
Tata Tiago,32.22,20.9,6,Hatchback,Diesel,Manual,Used,Family,Black,Not Recommended
Mahindra Scorpio,9.59,19.4,7,SUV,Electric,Automatic,New,Luxury,Silver,Not Recommended
Kia Seltos,20.76,22.6,4,Sedan,Diesel,Automatic,Used,Sporty,Blue,Not Recommended
Honda City,40.35,21.8,6,Sedan,Petrol,Manual,Used,Family,Black,Recommended
Tata Hexa,25.85,13.7,5,SUV,Diesel,Automatic,New,Sporty,Black,Not Recommended
Tata Tigor,31.01,16.0,6,Hatchback,Petrol,Manual,New,Family,Blue,Recommended
Maruti Baleno,32.29,24.5,5,Hatchback,Diesel,Manual,Used,Luxury,Blue,Recommended
Honda Civic,25.55,19.1,7,SUV,Petrol,Manual,Used,Sporty,Blue,Not Recommended
Maruti Alto,30.39,12.0,5,Sedan,Electric,Manual,Used,Luxury,Silver,Recommended
Kia Sonet,7.0,15.8,5,SUV,Electric,Manual,Used,Family,Blue,Not Recommended
Maruti Brezza,40.24,12.4,6,SUV,Diesel,Manual,New,Family,White,Not Recommended
Toyota Innova,42.69,13.6,6,Hatchback,Diesel,Automatic,New,Family,White,Not Recommended
Hyundai Elantra,10.19,18.1,5,Hatchback,Petrol,Automatic,Used,Family,Red,Recommended
Toyota Innova,27.71,21.6,6,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Not Recommended
Hyundai Creta,24.61,18.9,6,SUV,Petrol,Automatic,New,Luxury,White,Recommended
Kia Carens,35.76,24.7,4,Hatchback,Diesel,Automatic,Used,Family,Silver,Not Recommended
Hyundai Verna,32.01,15.1,7,Sedan,Petrol,Manual,Used,Luxury,Blue,Not Recommended
Toyota Glanza,16.53,22.8,6,Sedan,Diesel,Automatic,Used,Luxury,Blue,Not Recommended
Kia Carens,21.18,19.8,4,SUV,Electric,Automatic,New,Sporty,Red,Not Recommended
Tata Altroz,10.7,22.3,6,Sedan,Electric,Automatic,New,Luxury,Black,Not Recommended
Maruti WagonR,32.44,20.9,7,Hatchback,Diesel,Automatic,Used,Luxury,Blue,Recommended
Honda CR-V,20.98,11.1,6,Sedan,Electric,Manual,New,Family,Red,Not Recommended
Tata Harrier,29.28,11.7,5,Hatchback,Petrol,Automatic,New,Family,Silver,Not Recommended
Hyundai Venue,13.18,12.8,6,Sedan,Diesel,Automatic,Used,Sporty,White,Not Recommended
Tata Nexon,43.4,19.2,5,Sedan,Electric,Automatic,Used,Family,White,Recommended
Toyota Glanza,31.61,12.3,7,Sedan,Petrol,Automatic,New,Sporty,Blue,Recommended
Honda CR-V,40.44,22.1,5,SUV,Electric,Manual,New,Family,Red,Recommended
Kia Carnival,37.58,20.9,4,SUV,Diesel,Manual,Used,Luxury,Blue,Not Recommended
Honda Civic,18.38,15.0,6,SUV,Electric,Manual,New,Luxury,Red,Recommended
Hyundai Aura,28.29,12.1,5,Sedan,Diesel,Manual,Used,Luxury,Red,Recommended
Mahindra Thar,23.7,12.8,6,Sedan,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Tata Nexon,42.79,20.9,4,Hatchback,Electric,Manual,Used,Sporty,White,Recommended
Tata Punch,9.36,24.1,6,Sedan,Electric,Automatic,Used,Luxury,Red,Not Recommended
Mahindra Bolero,4.79,18.7,7,SUV,Petrol,Automatic,Used,Luxury,White,Recommended
Tata Nexon,34.48,22.6,4,Hatchback,Petrol,Automatic,New,Sporty,Blue,Not Recommended
Kia Sonet,5.5,21.3,6,Hatchback,Petrol,Manual,New,Family,Red,Recommended
