Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Porsche Panamera,252.12,14.1,4,Luxury,Diesel,Automatic,New,Family,Blue,Not Recommended
Mercedes S-Class,33.24,7.9,5,Luxury,Petrol,Manual,Used,Luxury,Grey,Recommended
Aston Martin Vantage,237.23,14.2,2,Luxury,Petrol,Automatic,New,Family,Black,Not Recommended
Land Rover Range Rover,288.74,5.1,5,Luxury,Petrol,Automatic,Used,Family,Black,Recommended
Lamborghini Huracan,222.82,11.8,5,Luxury,Diesel,Automatic,Used,Sports,Black,Not Recommended
Audi RS7,121.69,11.4,5,Luxury,Hybrid,Automatic,Used,Sports,Red,Recommended
Jaguar F-Type,258.71,10.1,2,Luxury,Diesel,Manual,New,Family,Black,Recommended
Mercedes AMG GT,155.79,13.8,4,Luxury,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Mercedes AMG GT,110.67,13.7,2,Luxury,Diesel,Automatic,New,Sports,Blue,Not Recommended
BMW Z4,95.0,12.4,4,Luxury,Petrol,Manual,New,Family,Red,Not Recommended
Audi RS7,275.85,6.3,2,Luxury,Hybrid,Manual,Used,Luxury,Grey,Recommended
Porsche Cayenne,176.27,13.4,4,Luxury,Diesel,Manual,New,Sports,Blue,Not Recommended
BMW M5,199.89,6.4,5,Luxury,Petrol,Automatic,Used,Family,Blue,Recommended
Aston Martin Vantage,52.14,7.5,4,Luxury,Petrol,Manual,Used,Sports,Blue,Recommended
Audi RS5,90.02,6.1,2,Luxury,Hybrid,Manual,New,Luxury,White,Not Recommended
Jaguar F-Type,38.77,9.9,5,Luxury,Hybrid,Automatic,Used,Family,Blue,Not Recommended
Lamborghini Huracan,129.11,13.8,4,Luxury,Petrol,Automatic,Used,Family,Red,Not Recommended
Mercedes S-Class,159.62,13.8,5,Luxury,Petrol,Automatic,Used,Family,Black,Recommended
BMW M4,83.98,6.7,4,Luxury,Hybrid,Manual,New,Family,Black,Recommended
Aston Martin Vantage,203.63,5.8,2,Luxury,Petrol,Automatic,New,Family,White,Recommended
Aston Martin Vantage,297.23,10.7,4,Luxury,Diesel,Manual,Used,Family,Grey,Recommended
Jaguar F-Type,81.07,7.5,5,Luxury,Diesel,Automatic,Used,Sports,Grey,Not Recommended
Audi RS5,194.23,8.9,5,Luxury,Petrol,Automatic,New,Family,Red,Recommended
BMW M4,82.06,7.6,2,Luxury,Petrol,Automatic,New,Family,Grey,Not Recommended
BMW M4,146.65,7.6,5,Luxury,Petrol,Manual,New,Luxury,Red,Recommended
BMW M4,216.1,8.0,5,Luxury,Hybrid,Automatic,Used,Luxury,Black,Not Recommended
BMW M4,201.57,14.1,5,Luxury,Hybrid,Manual,Used,Sports,Red,Not Recommended
Porsche Cayenne,226.82,9.8,2,Luxury,Diesel,Manual,New,Sports,White,Not Recommended
Lamborghini Huracan,114.85,12.4,4,Luxury,Hybrid,Manual,Used,Luxury,Grey,Not Recommended
Mercedes S-Class,130.2,7.7,2,Luxury,Hybrid,Manual,Used,Sports,White,Not Recommended
BMW M4,86.37,10.0,4,Luxury,Petrol,Manual,Used,Luxury,Blue,Not Recommended
Bentley Continental GT,40.85,9.9,2,Luxury,Diesel,Automatic,New,Family,Red,Not Recommended
Land Rover Range Rover,98.48,14.2,4,Luxury,Hybrid,Automatic,Used,Family,Black,Recommended
Bentley Continental GT,186.29,5.1,2,Luxury,Petrol,Manual,Used,Luxury,Black,Not Recommended
BMW M5,276.16,5.4,5,Luxury,Petrol,Manual,New,Sports,White,Not Recommended
Ferrari Roma,61.2,5.9,2,Luxury,Diesel,Manual,Used,Family,Black,Not Recommended
Aston Martin Vantage,180.04,5.1,4,Luxury,Hybrid,Automatic,New,Family,Red,Not Recommended
Porsche Cayenne,59.4,12.3,5,Luxury,Petrol,Manual,New,Sports,Black,Not Recommended
BMW M5,192.08,7.2,4,Luxury,Hybrid,Automatic,Used,Family,Black,Not Recommended
Lamborghini Huracan,51.52,10.8,5,Luxury,Diesel,Automatic,New,Family,Black,Recommended
Porsche Panamera,177.14,12.5,4,Luxury,Petrol,Manual,Used,Family,Red,Not Recommended
Jaguar F-Type,61.19,11.8,5,Luxury,Hybrid,Automatic,New,Luxury,Black,Recommended
Audi RS5,192.04,13.1,2,Luxury,Petrol,Automatic,Used,Family,White,Not Recommended
Audi RS7,144.29,10.9,2,Luxury,Diesel,Manual,Used,Family,Black,Recommended
Porsche Cayenne,127.24,7.8,5,Luxury,Petrol,Automatic,Used,Family,Red,Not Recommended
Lamborghini Huracan,212.84,10.4,4,Luxury,Hybrid,Manual,New,Luxury,Blue,Not Recommended
Rolls-Royce Ghost,185.05,6.7,2,Luxury,Petrol,Automatic,Used,Sports,Blue,Recommended
Aston Martin Vantage,206.5,11.0,2,Luxury,Hybrid,Manual,New,Sports,Red,Not Recommended
Lamborghini Huracan,275.14,5.0,4,Luxury,Diesel,Manual,New,Family,Blue,Recommended
Lexus LC500h,64.33,10.5,5,Luxury,Hybrid,Manual,Used,Family,White,Not Recommended
Jaguar XF,242.98,13.9,5,Luxury,Hybrid,Manual,New,Family,Black,Not Recommended
Porsche Cayenne,85.7,10.9,5,Luxury,Hybrid,Manual,New,Family,Black,Not Recommended
Porsche Panamera,197.14,10.0,5,Luxury,Hybrid,Automatic,Used,Sports,Blue,Not Recommended
BMW Z4,122.04,11.4,2,Luxury,Petrol,Automatic,New,Sports,White,Not Recommended
Lamborghini Huracan,168.37,8.7,2,Luxury,Hybrid,Automatic,New,Family,Blue,Not Recommended
Mercedes S-Class,86.55,8.8,5,Luxury,Hybrid,Automatic,Used,Luxury,White,Not Recommended
Porsche Cayenne,274.28,10.6,4,Luxury,Hybrid,Manual,New,Sports,White,Not Recommended
Range Rover Sport,111.36,7.9,4,Luxury,Diesel,Manual,Used,Family,White,Recommended
Audi A8L,168.54,6.7,4,Luxury,Petrol,Automatic,New,Sports,White,Not Recommended
Mercedes AMG GT,173.37,5.2,5,Luxury,Petrol,Automatic,New,Sports,Blue,Not Recommended
Audi A8L,86.44,7.0,5,Luxury,Petrol,Manual,New,Luxury,Grey,Recommended
Lamborghini Huracan,296.33,6.8,5,Luxury,Hybrid,Automatic,New,Luxury,White,Not Recommended
Jaguar F-Type,229.91,14.8,5,Luxury,Petrol,Automatic,New,Luxury,Blue,Not Recommended
Bentley Continental GT,221.08,13.2,5,Luxury,Diesel,Manual,New,Family,Grey,Recommended
Porsche 911,57.53,12.3,5,Luxury,Hybrid,Manual,Used,Family,Red,Recommended
Porsche 911,209.26,6.4,5,Luxury,Hybrid,Automatic,Used,Family,Black,Recommended
Land Rover Range Rover,221.75,8.7,4,Luxury,Diesel,Automatic,Used,Sports,White,Not Recommended
Rolls-Royce Phantom,131.19,8.6,5,Luxury,Hybrid,Manual,New,Sports,Blue,Recommended
Rolls-Royce Ghost,275.6,7.0,5,Luxury,Petrol,Automatic,New,Sports,White,Not Recommended
Audi RS5,208.63,14.3,5,Luxury,Petrol,Automatic,Used,Family,White,Not Recommended
Rolls-Royce Phantom,228.86,11.0,2,Luxury,Diesel,Manual,Used,Sports,Blue,Recommended
Audi RS7,101.22,8.1,2,Luxury,Diesel,Manual,New,Sports,Grey,Recommended
Ferrari Roma,121.57,7.3,5,Luxury,Petrol,Manual,Used,Sports,Blue,Not Recommended
Audi RS5,220.83,11.3,2,Luxury,Hybrid,Automatic,New,Sports,Grey,Recommended
Audi RS5,145.88,5.7,4,Luxury,Petrol,Manual,Used,Luxury,Black,Recommended
Land Rover Range Rover,106.08,6.5,2,Luxury,Diesel,Automatic,Used,Sports,Blue,Recommended
Mercedes AMG GT,288.37,12.2,2,Luxury,Diesel,Manual,New,Sports,Black,Not Recommended
Mercedes S-Class,100.87,5.2,2,Luxury,Hybrid,Manual,New,Family,Grey,Not Recommended
Porsche Panamera,265.62,6.5,4,Luxury,Petrol,Automatic,Used,Sports,Grey,Recommended
Land Rover Range Rover,206.19,5.7,4,Luxury,Hybrid,Automatic,Used,Sports,Blue,Recommended
Aston Martin Vantage,164.17,9.9,4,Luxury,Petrol,Automatic,Used,Luxury,Blue,Recommended
Lexus LC500h,75.73,13.8,2,Luxury,Diesel,Automatic,Used,Luxury,White,Not Recommended
Land Rover Range Rover,141.52,9.8,5,Luxury,Petrol,Automatic,Used,Family,Blue,Recommended
BMW M5,104.74,12.3,5,Luxury,Diesel,Automatic,Used,Luxury,White,Not Recommended
BMW M4,116.94,12.6,5,Luxury,Diesel,Manual,New,Luxury,Grey,Recommended
Mercedes S-Class,200.84,6.7,5,Luxury,Hybrid,Manual,Used,Luxury,White,Not Recommended
Porsche Cayenne,81.34,9.2,2,Luxury,Diesel,Automatic,Used,Sports,White,Recommended
Audi A8L,263.03,6.4,4,Luxury,Hybrid,Manual,Used,Luxury,Black,Not Recommended
BMW Z4,66.36,10.3,4,Luxury,Hybrid,Automatic,Used,Sports,Red,Recommended
BMW M4,265.55,10.1,5,Luxury,Hybrid,Automatic,New,Luxury,Red,Recommended
Jaguar XF,224.2,11.5,4,Luxury,Hybrid,Manual,New,Sports,White,Not Recommended
Rolls-Royce Phantom,251.79,6.7,4,Luxury,Diesel,Manual,Used,Family,Grey,Not Recommended
Mercedes AMG GT,114.74,9.5,5,Luxury,Hybrid,Manual,Used,Sports,Red,Recommended
Rolls-Royce Ghost,30.38,9.9,4,Luxury,Petrol,Manual,New,Family,Grey,Recommended
Rolls-Royce Ghost,161.26,6.9,5,Luxury,Diesel,Automatic,New,Family,Black,Not Recommended
Jaguar F-Type,283.95,10.3,5,Luxury,Petrol,Manual,New,Family,Grey,Recommended
Range Rover Sport,149.99,10.6,5,Luxury,Hybrid,Automatic,New,Family,Blue,Not Recommended
Bentley Continental GT,199.15,6.9,2,Luxury,Diesel,Automatic,Used,Family,Red,Not Recommended
